Datetime,PM2.5,PM10,NO2,CO,SO2,O3,AQI
2019-01-01 00:00:00,77.1,198.19,78.15,2.59,19.29,40.5,178
2019-01-01 01:00:00,92.64,231.38,93.62,2.99,19.99,46.34,174
2019-01-01 02:00:00,138.1,375.72,106.85,3.74,21.06,55.61,171
2019-01-01 03:00:00,143.28,394.84,107.31,4.29,22.94,56.63,170
2019-01-01 04:00:00,147.77,400.36,99.64,4.55,23.84,59.46,173
2019-01-01 05:00:00,145.9,402.93,89.52,4.56,23.84,56.9,181
2019-01-01 06:00:00,114.95,268.33,85.37,3.98,23.86,43.59,186
2019-01-01 07:00:00,89.95,224.23,83.35,3.56,23.08,39.65,187
2019-01-01 08:00:00,83.38,222.35,86.2,3.33,25.2,38.59,187
2019-01-01 09:00:00,79.28,242.05,71.94,3.15,31.76,38.02,186
2019-01-01 10:00:00,76.7,212.43,64.47,3,39.87,36.18,185
2019-01-01 11:00:00,60.87,211.13,75.09,2.75,25.33,33.95,182
2019-01-01 12:00:00,65.01,210.5,94.14,2.4,23.42,33.62,182
2019-01-01 13:00:00,55.86,166.51,84.47,2.16,20.97,29.71,183
2019-01-01 14:00:00,45.02,144.99,48.67,1.9,27.8,43.46,183
2019-01-01 15:00:00,69.1,176.25,35.09,1.79,18.42,49.93,184
2019-01-01 16:00:00,50.84,132.57,30.58,1.7,16.06,49.2,184
2019-01-01 17:00:00,48.25,151.27,27.09,1.64,15.27,49.05,184
2019-01-01 18:00:00,49.41,147.23,26.66,1.63,15.23,49.69,183
2019-01-01 19:00:00,51.25,141.69,28.88,1.66,14.65,47.19,181
2019-01-01 20:00:00,50.09,137.95,31.8,1.74,13.47,47.23,180
2019-01-01 21:00:00,53.34,158.63,36.08,1.89,13.03,47.42,180
2019-01-01 22:00:00,61.77,177.14,42.08,2.2,20.23,50.44,181
2019-01-01 23:00:00,64.92,195.62,59.63,2.71,26.48,44.59,181
2019-01-02 00:00:00,62.24,181.43,77.77,3.09,27.07,43.54,181
2019-01-02 01:00:00,62.81,192.58,89.49,3.56,28.09,44.22,180
2019-01-02 02:00:00,83.79,236.68,98.99,3.88,28.8,48.51,176
