LOCATIONS,Temp,D.O. (mg/l),PH,CONDUCTIVITY (�mhos/cm),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,B.O.D. (mg/l)
"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",29.8,5.7,7.2,189,0.2,4953,8391,2
ZUARI AT PANCHAWADI,29.5,6.3,6.9,179,0.1,3243,5330,1.7
RIVER ZUARI AT BORIM BRIDGE,29.7,5.8,6.9,64,0.5,5382,8443,3.8
RIVER ZUARI AT MARCAIM JETTY,29.5,5.8,7.3,83,0.4,3428,5500,1.9
"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",30,5.5,7.4,81,0.1,2853,4049,1.5
"MANDOVI AT TONCA, MARCELA, GOA",29.2,6.1,6.7,308,0.3,3355,5672,1.4
RIVER MANDOVI AT AMONA BRIDGE,29.6,6.4,6.7,414,0.2,6073,9423,1
RIVER MANDOVI AT IFFI JETTY,30,6.4,7.6,305,0.1,3478,4990,2.2
RIVER MANDOVI NEAR HOTEL MARRIOT,30.1,6.3,7.6,77,0.1,2606,4301,2.3
"RIVER KALNA AT CHANDELNAN PERNEM, GOA",27.8,7.1,7.1,176,0.1,4573,7817,1.2
"RIVER ASSONORA AT ASSONORA, GOA",27.9,6.7,6.4,93,0.1,2147,3433,1.4
"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",29.3,7.4,6.8,121,0.4,11633,18125,1.7
"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",29.2,6.9,7,620,0.1,3500,6300,1.1
RIVER CHAPORA AT SIOLIM,30,6,7.5,72,0.2,4995,9517,1.6
"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",29,7.3,7,247,0.2,1095,2453,1.5
"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",29.1,7.3,7,188,0.1,1286,3048,1
"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",28.7,7,6.9,224,0.3,3896,6742,1.2
"RIVER MADAI AT DABOS NAN  VALPOI, GOA",28.7,7.3,6.7,144,0.1,1940,3052,1.5
RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,29.5,5.3,6.8,319,0.3,6458,10250,1.8
"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",29,6.3,6.4,79,1.4,7592,12842,1.6
"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",29.4,5.4,7.6,39,0.1,3176,6367,1.4
"RIVER SAL AT KHAREBAND, MARGAO",28.3,2.2,6.5,322,1.2,11210,14920,4.7
"RIVER SAL AT ORLIM BRIDGE, ORLIM",30.1,5.2,7.1,192,0.3,5073,8925,2.6
RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),30.3,5.6,7.5,282,0.1,3205,5082,1.8
RIVER SINQUERIM NEAR NERUL TEMPLE,30.5,5.5,7.4,275,0.1,4698,8625,1.5
"RIVER TALPONA AT CANACONA, GOA",29.1,7.3,6.7,55,0.1,2638,4003,1.4
RIVER TIRACOL AT TIRACOL,30.1,6.5,7.5,415,0.1,864,1538,2
"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",29.2,7.2,6.3,100,0.1,7942,13575,1.5
"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",25.1,6.6,7.8,95,0.2,16,36,4.9
